seed,method,threshold_style,quantile,window,label,success_false_alarm,failure_detection,det_at_10,det_at_25,det_at_50,mean_time,never,dataset
43,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.4020618556701031,0.0,0.10309278350515463,0.4020618556701031,0.32008547008546995,0.5979381443298969,goal_swap_100
43,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_swap_100
43,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.24742268041237114,0.0,0.010309278350515464,0.18556701030927836,0.4511111111111111,0.7525773195876289,goal_swap_100
43,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.21649484536082475,0.0,0.0,0.0,0.8053968253968252,0.7835051546391752,goal_swap_100
0,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.4222222222222222,0.0,0.011111111111111112,0.044444444444444446,0.7219298245614036,0.5777777777777777,goal_task_100
0,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.7,0.2222222222222222,0.08888888888888889,0.08888888888888889,0.12222222222222222,0.35883333333333334,0.7777777777777778,goal_task_100
0,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.26666666666666666,0.0,0.0,0.0,0.8459722222222222,0.7333333333333333,goal_task_100
0,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.006666666666666666,0.8888888888888888,goal_task_100
0,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.8888888888888888,goal_task_100
0,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.32999999999999996,0.7777777777777778,goal_task_100
0,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
0,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
0,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.05555555555555555,0.0,0.0,0.0,0.8039999999999999,0.9444444444444444,goal_task_100
1,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.4222222222222222,0.0,0.011111111111111112,0.044444444444444446,0.7219298245614036,0.5777777777777777,goal_task_100
1,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.7,0.2222222222222222,0.08888888888888889,0.08888888888888889,0.12222222222222222,0.35883333333333334,0.7777777777777778,goal_task_100
1,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.26666666666666666,0.0,0.0,0.0,0.8459722222222222,0.7333333333333333,goal_task_100
1,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.006666666666666666,0.8888888888888888,goal_task_100
1,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.29000000000000004,0.6666666666666666,goal_task_100
1,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.49083333333333334,0.5555555555555556,goal_task_100
1,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.022222222222222223,0.0,0.0,0.0,0.6766666666666667,0.9777777777777777,goal_task_100
1,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.07777777777777778,0.0,0.0,0.0,0.571904761904762,0.9222222222222223,goal_task_100
1,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.08888888888888889,0.0,0.0,0.0,0.8491666666666666,0.9111111111111111,goal_task_100
2,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.4222222222222222,0.0,0.011111111111111112,0.044444444444444446,0.7219298245614036,0.5777777777777777,goal_task_100
2,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.7,0.2222222222222222,0.08888888888888889,0.08888888888888889,0.12222222222222222,0.35883333333333334,0.7777777777777778,goal_task_100
2,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.26666666666666666,0.0,0.0,0.0,0.8459722222222222,0.7333333333333333,goal_task_100
2,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.1,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
2,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.1,0.3333333333333333,0.0,0.0,0.2222222222222222,0.491111111111111,0.6666666666666666,goal_task_100
2,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.5555555555555556,0.0,0.0,0.0,0.6953333333333334,0.4444444444444444,goal_task_100
2,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
2,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.1,0.03333333333333333,0.0,0.0,0.011111111111111112,0.5077777777777778,0.9666666666666667,goal_task_100
2,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.12222222222222222,0.0,0.0,0.0,0.8421212121212122,0.8777777777777778,goal_task_100
42,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.4222222222222222,0.0,0.011111111111111112,0.044444444444444446,0.7219298245614036,0.5777777777777777,goal_task_100
42,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.7,0.2222222222222222,0.08888888888888889,0.08888888888888889,0.12222222222222222,0.35883333333333334,0.7777777777777778,goal_task_100
42,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.26666666666666666,0.0,0.0,0.0,0.8459722222222222,0.7333333333333333,goal_task_100
42,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
42,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,1.0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.3722222222222223,0.6666666666666666,goal_task_100
42,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
42,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
42,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.6,0.08888888888888889,0.0,0.0,0.011111111111111112,0.6,0.9111111111111111,goal_task_100
42,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
43,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.4222222222222222,0.0,0.011111111111111112,0.044444444444444446,0.7219298245614036,0.5777777777777777,goal_task_100
43,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.7,0.2222222222222222,0.08888888888888889,0.08888888888888889,0.12222222222222222,0.35883333333333334,0.7777777777777778,goal_task_100
43,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.26666666666666666,0.0,0.0,0.0,0.8459722222222222,0.7333333333333333,goal_task_100
43,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.1111111111111111,0.0,0.0,0.0,0.9633333333333333,0.8888888888888888,goal_task_100
43,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.28444444444444444,0.6666666666666666,goal_task_100
43,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.31111111111111106,0.6666666666666666,goal_task_100
43,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_task_100
43,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.03333333333333333,0.0,0.0,0.0,0.6388888888888888,0.9666666666666667,goal_task_100
43,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.06666666666666667,0.0,0.0,0.0,0.8277777777777776,0.9333333333333333,goal_task_100
0,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.021505376344086023,0.8571428571428571,0.0,0.0,0.7142857142857143,0.45555555555555555,0.14285714285714285,spatial_object_100
0,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.21505376344086022,1.0,0.0,0.5714285714285714,1.0,0.3085714285714286,0.0,spatial_object_100
0,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.8571428571428571,0.0,0.0,0.0,0.7555555555555555,0.14285714285714285,spatial_object_100
0,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,spatial_object_100
0,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,spatial_object_100
0,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,1.0,1.0,1.0,1.0,1.0,0.0,0.0,spatial_object_100
0,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.5777777777777778,0.5714285714285714,spatial_object_100
0,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.21505376344086022,1.0,0.0,0.5714285714285714,1.0,0.3085714285714286,0.0,spatial_object_100
0,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.8571428571428571,0.0,0.0,0.0,0.7555555555555555,0.14285714285714285,spatial_object_100
1,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.021505376344086023,0.8571428571428571,0.0,0.0,0.7142857142857143,0.45555555555555555,0.14285714285714285,spatial_object_100
1,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.21505376344086022,1.0,0.0,0.5714285714285714,1.0,0.3085714285714286,0.0,spatial_object_100
