policy,family,success_seen_episodes,success_ood_episodes,failure_ood_episodes,success_seen_fa,success_ood_fa,failure_detection,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_mean_time,failure_never,objective
q99_count_epq90,episode_calibrated_count,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_count_epq95,episode_calibrated_count,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_mass_conformal_alpha0p05,split_conformal_mass,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_mass_conformal_alpha0p1,split_conformal_mass,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_mass_conformal_alpha0p15,split_conformal_mass,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_mass_conformal_alpha0p2,split_conformal_mass,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_mass_epq90,episode_calibrated_mass,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_mass_epq95,episode_calibrated_mass,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_maxrun_conformal_alpha0p05,split_conformal_maxrun,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_maxrun_conformal_alpha0p1,split_conformal_maxrun,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
