variant,experiment_id,episode_id,benchmark_episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint,intervention_count,baseline_success,paired_category_vs_baseline,paired_category_vs_other_controller
q95_symmetric,EXP-010,000025,25,True,SUCCESS,0.02978256344795227,171,682,18,05226fefa210977e9886da841bb46e60c5b12587dc49805e049a8a968889d3d5,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000026,26,False,FAILURE,0.0486845001578331,350,1400,35,f7a85dc41e090bed379c7686470cc3479a611f5f7b29dd7fade890601abda760,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000026,26,False,FAILURE,0.23371396958827972,350,1400,35,f7a85dc41e090bed379c7686470cc3479a611f5f7b29dd7fade890601abda760,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000026,26,False,FAILURE,0.3060796856880188,350,1400,35,f7a85dc41e090bed379c7686470cc3479a611f5f7b29dd7fade890601abda760,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000027,27,False,FAILURE,0.15787670016288757,350,1400,35,be344115a61eb422e9f43c88d113f38f3bc3b75a6f589772f432b39a73f208f0,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000027,27,False,FAILURE,0.16874417662620544,350,1400,35,be344115a61eb422e9f43c88d113f38f3bc3b75a6f589772f432b39a73f208f0,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000027,27,False,FAILURE,0.15344208478927612,350,1400,35,be344115a61eb422e9f43c88d113f38f3bc3b75a6f589772f432b39a73f208f0,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000028,28,False,FAILURE,0.2816489636898041,350,1400,35,7f1b1c18a030264caf4632afafa020103a782bd2bbe7d26ad3074aa8a3dfb8ff,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000028,28,False,FAILURE,0.23284614086151123,350,1400,35,7f1b1c18a030264caf4632afafa020103a782bd2bbe7d26ad3074aa8a3dfb8ff,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000028,28,False,FAILURE,0.2360692322254181,350,1400,35,7f1b1c18a030264caf4632afafa020103a782bd2bbe7d26ad3074aa8a3dfb8ff,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000029,29,True,SUCCESS,0.0299500934779644,180,720,18,aad24fa94877ec3e818f19a7c9599a7b9f9402a5f483278f419ea7ab1ff5d82f,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000029,29,True,SUCCESS,0.029856331646442413,184,733,19,aad24fa94877ec3e818f19a7c9599a7b9f9402a5f483278f419ea7ab1ff5d82f,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000029,29,True,SUCCESS,0.029676830396056175,183,731,19,aad24fa94877ec3e818f19a7c9599a7b9f9402a5f483278f419ea7ab1ff5d82f,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000030,30,False,FAILURE,0.25231602787971497,350,1400,35,5596ae10e0cd3bb8f91ee965c32cc92eb880b670663d930d5149f4175a025966,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000030,30,False,FAILURE,0.2519506514072418,350,1400,35,5596ae10e0cd3bb8f91ee965c32cc92eb880b670663d930d5149f4175a025966,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000030,30,False,FAILURE,0.2531214952468872,350,1400,35,5596ae10e0cd3bb8f91ee965c32cc92eb880b670663d930d5149f4175a025966,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000031,31,False,FAILURE,0.35169756412506104,350,1400,35,770b7b90f7c9a10ae6f38d2400086f85ca16432f605f33abcb4c5e309c33ea2a,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000031,31,False,FAILURE,0.34871968626976013,350,1400,35,770b7b90f7c9a10ae6f38d2400086f85ca16432f605f33abcb4c5e309c33ea2a,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000031,31,False,FAILURE,0.14123667776584625,350,1400,35,770b7b90f7c9a10ae6f38d2400086f85ca16432f605f33abcb4c5e309c33ea2a,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000032,32,False,FAILURE,0.06022796779870987,350,1400,35,7431ea82cad3250e2e1e6c20bd1ad20ee83d99871a0d3b0e97c9f29bf32473d6,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000032,32,False,FAILURE,0.06012797728180885,350,1400,35,7431ea82cad3250e2e1e6c20bd1ad20ee83d99871a0d3b0e97c9f29bf32473d6,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000032,32,False,FAILURE,0.05792991444468498,350,1400,35,7431ea82cad3250e2e1e6c20bd1ad20ee83d99871a0d3b0e97c9f29bf32473d6,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000033,33,False,FAILURE,0.22101806104183197,350,1400,35,95178e03279ec2542cc5408c7964b893fb9f183dc451380d22030dd1ff5f45d2,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000033,33,False,FAILURE,0.22383682429790497,350,1400,35,95178e03279ec2542cc5408c7964b893fb9f183dc451380d22030dd1ff5f45d2,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000033,33,False,FAILURE,0.16116809844970703,350,1400,35,95178e03279ec2542cc5408c7964b893fb9f183dc451380d22030dd1ff5f45d2,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000034,34,True,SUCCESS,0.029644038528203964,132,525,14,96fbac2c8c99ee69881c04f2edb0261f5f43ac3b1b1f4649397e55118b0ddb88,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000034,34,True,SUCCESS,0.02990051917731762,132,526,14,96fbac2c8c99ee69881c04f2edb0261f5f43ac3b1b1f4649397e55118b0ddb88,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000034,34,True,SUCCESS,0.02982928417623043,130,519,13,96fbac2c8c99ee69881c04f2edb0261f5f43ac3b1b1f4649397e55118b0ddb88,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000035,35,True,SUCCESS,0.029740991070866585,190,758,19,d463df9adf64120c563179b4ad81fd0c370f74ed3fb8c926f2f3888937d40024,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000035,35,True,SUCCESS,0.029595019295811653,189,756,19,d463df9adf64120c563179b4ad81fd0c370f74ed3fb8c926f2f3888937d40024,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000035,35,True,SUCCESS,0.029865460470318794,190,758,19,d463df9adf64120c563179b4ad81fd0c370f74ed3fb8c926f2f3888937d40024,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000036,36,True,SUCCESS,0.029672637581825256,177,708,18,b96abd9ba7d3f5b46be5b04fe9024a538d64394b4cd09c1e7f08e8a1b829196a,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000036,36,True,SUCCESS,0.029192043468356133,178,711,18,b96abd9ba7d3f5b46be5b04fe9024a538d64394b4cd09c1e7f08e8a1b829196a,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000036,36,True,SUCCESS,0.029733821749687195,178,709,18,b96abd9ba7d3f5b46be5b04fe9024a538d64394b4cd09c1e7f08e8a1b829196a,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000037,37,True,SUCCESS,0.029685061424970627,168,670,17,dbcf0e4a44509fe826a7bedd09d020b09d1c6f9563391c0574f90c788f429352,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000037,37,False,FAILURE,0.2580955922603607,350,1400,35,dbcf0e4a44509fe826a7bedd09d020b09d1c6f9563391c0574f90c788f429352,0,True,S_TO_F_REGRESSION,BOTH_FAIL
q95_symmetric,EXP-010,000037,37,False,FAILURE,0.25571978092193604,350,1400,35,dbcf0e4a44509fe826a7bedd09d020b09d1c6f9563391c0574f90c788f429352,0,True,S_TO_F_REGRESSION,BOTH_FAIL
baseline,EXP-008,000038,38,True,SUCCESS,0.029657909646630287,164,654,17,f93b6c22d801f74936994645c720f4caa1b8ec79bddf3d0afbff4311345a9a17,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000038,38,True,SUCCESS,0.02989272214472294,164,654,17,f93b6c22d801f74936994645c720f4caa1b8ec79bddf3d0afbff4311345a9a17,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000038,38,True,SUCCESS,0.029465848580002785,165,658,17,f93b6c22d801f74936994645c720f4caa1b8ec79bddf3d0afbff4311345a9a17,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000039,39,False,FAILURE,0.33520516753196716,350,1400,35,c9b32bb7227b408bedb6b35607f501e2552640823a2da45f330b86cb6f0910c6,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000039,39,False,FAILURE,0.3329022228717804,350,1400,35,c9b32bb7227b408bedb6b35607f501e2552640823a2da45f330b86cb6f0910c6,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000039,39,False,FAILURE,0.3372456431388855,350,1400,35,c9b32bb7227b408bedb6b35607f501e2552640823a2da45f330b86cb6f0910c6,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000040,40,False,FAILURE,0.09817558526992798,350,1400,35,e8928424c72224af5dd129ed8a068a62c49f92d75f332a77cd9406b33e749ccf,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000040,40,False,FAILURE,0.053324539214372635,350,1400,35,e8928424c72224af5dd129ed8a068a62c49f92d75f332a77cd9406b33e749ccf,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000040,40,False,FAILURE,0.09601343423128128,350,1400,35,e8928424c72224af5dd129ed8a068a62c49f92d75f332a77cd9406b33e749ccf,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000041,41,True,SUCCESS,0.029584303498268127,134,535,14,b42c782f9694424e8594ec9f0c4021bfc26dbeba774ce3b885d0bcd6153736c0,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000041,41,True,SUCCESS,0.029707524925470352,136,542,14,b42c782f9694424e8594ec9f0c4021bfc26dbeba774ce3b885d0bcd6153736c0,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000041,41,True,SUCCESS,0.029706599190831184,134,535,14,b42c782f9694424e8594ec9f0c4021bfc26dbeba774ce3b885d0bcd6153736c0,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000042,42,True,SUCCESS,0.029415573924779892,201,803,21,62af196f506a196f806ed5fc67fbc359c047a19841480a7a72366636603a53cf,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000042,42,True,SUCCESS,0.029856476932764053,202,806,21,62af196f506a196f806ed5fc67fbc359c047a19841480a7a72366636603a53cf,0,True,S_TO_S,BOTH_SUCCEED
