Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2208/3751 [00:00<00:00, 22069.44it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 17760.08it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0_fine_tuned/last.pt...
Resuming at epoch 700 with best_val=0.106463
DEBUG: Starting training loop...
epoch=0931 train_loss=0.000604 val_seq_brier=0.094616 best=0.094630
epoch=0932 train_loss=0.000634 val_seq_brier=0.094555 best=0.094616
epoch=0933 train_loss=0.000601 val_seq_brier=0.094452 best=0.094555
epoch=0934 train_loss=0.000606 val_seq_brier=0.094469 best=0.094452
epoch=0935 train_loss=0.000592 val_seq_brier=0.094214 best=0.094452
epoch=0936 train_loss=0.000617 val_seq_brier=0.094351 best=0.094214
epoch=0937 train_loss=0.000627 val_seq_brier=0.094601 best=0.094214
epoch=0938 train_loss=0.000596 val_seq_brier=0.094562 best=0.094214
epoch=0939 train_loss=0.000645 val_seq_brier=0.094531 best=0.094214
epoch=0940 train_loss=0.000593 val_seq_brier=0.094660 best=0.094214
epoch=0941 train_loss=0.000609 val_seq_brier=0.094552 best=0.094214
epoch=0942 train_loss=0.000613 val_seq_brier=0.094419 best=0.094214
epoch=0943 train_loss=0.000648 val_seq_brier=0.094557 best=0.094214
epoch=0944 train_loss=0.000616 val_seq_brier=0.094292 best=0.094214
epoch=0945 train_loss=0.000789 val_seq_brier=0.094814 best=0.094214
epoch=0946 train_loss=0.001071 val_seq_brier=0.094875 best=0.094214
epoch=0947 train_loss=0.000874 val_seq_brier=0.095140 best=0.094214
epoch=0948 train_loss=0.000620 val_seq_brier=0.095002 best=0.094214
epoch=0949 train_loss=0.000630 val_seq_brier=0.095298 best=0.094214
epoch=0950 train_loss=0.000624 val_seq_brier=0.095088 best=0.094214
