Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2221/3751 [00:00<00:00, 22195.63it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 18103.94it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0/last.pt...
Resuming at epoch 200 with best_val=0.174967
DEBUG: Starting training loop...
epoch=0350 train_loss=0.000565 val_seq_brier=0.143422 best=0.143163
epoch=0351 train_loss=0.000595 val_seq_brier=0.143077 best=0.143163
epoch=0352 train_loss=0.000574 val_seq_brier=0.142638 best=0.143077
epoch=0353 train_loss=0.000571 val_seq_brier=0.142723 best=0.142638
epoch=0354 train_loss=0.000593 val_seq_brier=0.142299 best=0.142638
epoch=0355 train_loss=0.000572 val_seq_brier=0.142772 best=0.142299
epoch=0356 train_loss=0.000609 val_seq_brier=0.142329 best=0.142299
epoch=0357 train_loss=0.000592 val_seq_brier=0.142514 best=0.142299
epoch=0358 train_loss=0.000652 val_seq_brier=0.142745 best=0.142299
epoch=0359 train_loss=0.000624 val_seq_brier=0.141454 best=0.142299
epoch=0360 train_loss=0.000727 val_seq_brier=0.142482 best=0.141454
epoch=0361 train_loss=0.000596 val_seq_brier=0.141727 best=0.141454
epoch=0362 train_loss=0.000582 val_seq_brier=0.141236 best=0.141454
epoch=0363 train_loss=0.000571 val_seq_brier=0.141265 best=0.141236
epoch=0364 train_loss=0.000582 val_seq_brier=0.141109 best=0.141236
epoch=0365 train_loss=0.000568 val_seq_brier=0.141503 best=0.141109
epoch=0366 train_loss=0.000639 val_seq_brier=0.140930 best=0.141109
epoch=0367 train_loss=0.000578 val_seq_brier=0.140617 best=0.140930
epoch=0368 train_loss=0.000585 val_seq_brier=0.140478 best=0.140617
epoch=0369 train_loss=0.000577 val_seq_brier=0.140338 best=0.140478
epoch=0370 train_loss=0.000577 val_seq_brier=0.140177 best=0.140338
epoch=0371 train_loss=0.000577 val_seq_brier=0.139648 best=0.140177
epoch=0372 train_loss=0.000570 val_seq_brier=0.139596 best=0.139648
epoch=0373 train_loss=0.000580 val_seq_brier=0.139061 best=0.139596
epoch=0374 train_loss=0.000578 val_seq_brier=0.139001 best=0.139061
epoch=0375 train_loss=0.000601 val_seq_brier=0.139414 best=0.139001
epoch=0376 train_loss=0.000562 val_seq_brier=0.138511 best=0.139001
epoch=0377 train_loss=0.000574 val_seq_brier=0.138599 best=0.138511
epoch=0378 train_loss=0.000571 val_seq_brier=0.138161 best=0.138511
epoch=0379 train_loss=0.000581 val_seq_brier=0.138047 best=0.138161
epoch=0380 train_loss=0.000571 val_seq_brier=0.137645 best=0.138047
epoch=0381 train_loss=0.000582 val_seq_brier=0.137731 best=0.137645
epoch=0382 train_loss=0.000652 val_seq_brier=0.137229 best=0.137645
epoch=0383 train_loss=0.000622 val_seq_brier=0.136954 best=0.137229
epoch=0384 train_loss=0.000640 val_seq_brier=0.136442 best=0.136954
epoch=0385 train_loss=0.000590 val_seq_brier=0.136478 best=0.136442
epoch=0386 train_loss=0.000587 val_seq_brier=0.136661 best=0.136442
epoch=0387 train_loss=0.000600 val_seq_brier=0.136678 best=0.136442
epoch=0388 train_loss=0.000604 val_seq_brier=0.136350 best=0.136442
epoch=0389 train_loss=0.000570 val_seq_brier=0.136190 best=0.136350
epoch=0390 train_loss=0.000567 val_seq_brier=0.135763 best=0.136190
epoch=0391 train_loss=0.000579 val_seq_brier=0.135881 best=0.135763
epoch=0392 train_loss=0.000608 val_seq_brier=0.134793 best=0.135763
epoch=0393 train_loss=0.000749 val_seq_brier=0.136930 best=0.134793
epoch=0394 train_loss=0.001389 val_seq_brier=0.135196 best=0.134793
epoch=0395 train_loss=0.000634 val_seq_brier=0.135545 best=0.134793
epoch=0396 train_loss=0.000576 val_seq_brier=0.135491 best=0.134793
epoch=0397 train_loss=0.000584 val_seq_brier=0.135233 best=0.134793
epoch=0398 train_loss=0.000676 val_seq_brier=0.135428 best=0.134793
epoch=0399 train_loss=0.000588 val_seq_brier=0.135398 best=0.134793
epoch=0400 train_loss=0.000580 val_seq_brier=0.134884 best=0.134793
epoch=0401 train_loss=0.000574 val_seq_brier=0.135105 best=0.134793
epoch=0402 train_loss=0.000573 val_seq_brier=0.134481 best=0.134793
epoch=0403 train_loss=0.000576 val_seq_brier=0.134460 best=0.134481
epoch=0404 train_loss=0.000569 val_seq_brier=0.134043 best=0.134460
epoch=0405 train_loss=0.000573 val_seq_brier=0.134222 best=0.134043
epoch=0406 train_loss=0.000570 val_seq_brier=0.134087 best=0.134043
epoch=0407 train_loss=0.000574 val_seq_brier=0.133965 best=0.134043
epoch=0408 train_loss=0.000584 val_seq_brier=0.133779 best=0.133965
epoch=0409 train_loss=0.000607 val_seq_brier=0.133806 best=0.133779
epoch=0410 train_loss=0.000589 val_seq_brier=0.134289 best=0.133779
epoch=0411 train_loss=0.000935 val_seq_brier=0.134256 best=0.133779
epoch=0412 train_loss=0.000702 val_seq_brier=0.133309 best=0.133779
epoch=0413 train_loss=0.000682 val_seq_brier=0.133385 best=0.133309
epoch=0414 train_loss=0.000611 val_seq_brier=0.133149 best=0.133309
epoch=0415 train_loss=0.000604 val_seq_brier=0.133380 best=0.133149
epoch=0416 train_loss=0.000590 val_seq_brier=0.132793 best=0.133149
epoch=0417 train_loss=0.000593 val_seq_brier=0.132760 best=0.132793
epoch=0418 train_loss=0.000598 val_seq_brier=0.132921 best=0.132760
epoch=0419 train_loss=0.000599 val_seq_brier=0.132518 best=0.132760
epoch=0420 train_loss=0.000587 val_seq_brier=0.132647 best=0.132518
epoch=0421 train_loss=0.000579 val_seq_brier=0.132228 best=0.132518
epoch=0422 train_loss=0.000578 val_seq_brier=0.132327 best=0.132228
epoch=0423 train_loss=0.000580 val_seq_brier=0.131922 best=0.132228
epoch=0424 train_loss=0.000585 val_seq_brier=0.132061 best=0.131922
epoch=0425 train_loss=0.000590 val_seq_brier=0.132002 best=0.131922
epoch=0426 train_loss=0.000581 val_seq_brier=0.131595 best=0.131922
epoch=0427 train_loss=0.000579 val_seq_brier=0.131699 best=0.131595
epoch=0428 train_loss=0.000585 val_seq_brier=0.131408 best=0.131595
