Policy,Kind,Param,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Time,Never,False_Alarms,Detected_Failures
fixed_0.5_mass_7.5,mass,7.5,0.6643356643356644,0.918918918918919,0.02702702702702703,0.1891891891891892,0.8918918918918919,0.2669607843137255,0.08108108108108103,95,34
fixed_0.5_mass_10,mass,10,0.5314685314685315,0.918918918918919,0.02702702702702703,0.13513513513513514,0.8918918918918919,0.2874509803921569,0.08108108108108103,76,34
fixed_0.5_mass_15,mass,15,0.34265734265734266,0.918918918918919,0.0,0.10810810810810811,0.8918918918918919,0.3264705882352941,0.08108108108108103,49,34
fixed_0.5_mass_20,mass,20,0.23776223776223776,0.918918918918919,0.0,0.10810810810810811,0.8648648648648649,0.3729411764705882,0.08108108108108103,34,34
fixed_0.5_mass_25,mass,25,0.1958041958041958,0.918918918918919,0.0,0.02702702702702703,0.8648648648648649,0.41049019607843135,0.08108108108108103,28,34
fixed_0.5_mass_30,mass,30,0.17482517482517482,0.918918918918919,0.0,0.0,0.8378378378378378,0.4453921568627451,0.08108108108108103,25,34
fixed_0.5_mass_40,mass,40,0.15384615384615385,0.918918918918919,0.0,0.0,0.4864864864864865,0.5143137254901962,0.08108108108108103,22,34
fixed_0.5_mass_50,mass,50,0.06293706293706294,0.8648648648648649,0.0,0.0,0.10810810810810811,0.5729166666666666,0.1351351351351351,9,32
fixed_0.5_mass_75,mass,75,0.0,0.8378378378378378,0.0,0.0,0.0,0.7421505376344085,0.16216216216216217,0,31
fixed_0.5_mass_100,mass,100,0.0,0.7297297297297297,0.0,0.0,0.0,0.8981481481481484,0.2702702702702703,0,27
fixed_0.5_mass_150,mass,150,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
fixed_0.5_mass_200,mass,200,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
